,Unnamed: 0,index,Unnamed: 0.1,posts,Mach,LSRP12,LSRP2,NRSM,languages,clean_msg,msg_lower
0,0,0,0,my heart my soulTT,68.0,1.3,2.5,3.0,en,my heart my soulTT,my heart my soultt
1,1,2,2,Free speech is a joke in this country,68.0,1.3,2.5,3.0,en,Free speech is a joke in this country,free speech is a joke in this country
2,2,5,5,"Make 500 sequels I dont careMake another Justice league and your franchise is dead to me
SDCCTrailers",68.0,1.3,2.5,3.0,en,"Make 500 sequels I dont careMake another Justice league and your franchise is dead to me
SDCCTrailers","make 500 sequels i dont caremake another justice league and your franchise is dead to me
sdcctrailers"
3,3,6,6,Everybody wants a piece of the politically correct cake,68.0,1.3,2.5,3.0,en,Everybody wants a piece of the politically correct cake,everybody wants a piece of the politically correct cake
4,4,10,10,And thats how a movement dies,68.0,1.3,2.5,3.0,en,And thats how a movement dies,and thats how a movement dies
5,6,15,15,"France won the world cup
Croatia won our hearts3",68.0,1.3,2.5,3.0,en,"France won the world cup
Croatia won our hearts3","france won the world cup
croatia won our hearts3"
6,7,16,16,Underdogs all the way boiiiii,68.0,1.3,2.5,3.0,en,Underdogs all the way boiiiii,underdogs all the way boiiiii
7,8,21,21,Gets beaten by two teams who reached the finals,68.0,1.3,2.5,3.0,en,Gets beaten by two teams who reached the finals,gets beaten by two teams who reached the finals
8,9,23,23,yes please do post one more Its coming homesorry England is coming homeas if people were not creative enough,68.0,1.3,2.5,3.0,en,yes please do post one more Its coming homesorry England is coming homeas if people were not creative enough,yes please do post one more its coming homesorry england is coming homeas if people were not creative enough
9,10,25,25,sorry not sorry,68.0,1.3,2.5,3.0,en,sorry not sorry,sorry not sorry
10,11,27,27,"ow boy the cringe is real on this one
Businessescommclass
dhamalmvi",68.0,1.3,2.5,3.0,en,"ow boy the cringe is real on this one
Businessescommclass
dhamalmvi","ow boy the cringe is real on this one
businessescommclass
dhamalmvi"
11,12,29,29,Damn it stop stealing articles from the onion dude,68.0,1.3,2.5,3.0,en,Damn it stop stealing articles from the onion dude,damn it stop stealing articles from the onion dude
12,15,32,32,welp time to delete the memes,68.0,1.3,2.5,3.0,en,welp time to delete the memes,welp time to delete the memes
13,16,33,33,The onion called they want their article back,68.0,1.3,2.5,3.0,en,The onion called they want their article back,the onion called they want their article back
14,17,34,34,কালাই রুটি with the best company at rajsahi,68.0,1.3,2.5,3.0,en,কালাই রুটি with the best company at rajsahi,কালাই রুটি with the best company at rajsahi
15,18,37,37,Bring on them memes plox,68.0,1.3,2.5,3.0,en,Bring on them memes plox,bring on them memes plox
16,20,51,51,"This is what you expect from a world cup match
respect",68.0,1.3,2.5,3.0,en,"This is what you expect from a world cup match
respect","this is what you expect from a world cup match
respect"
17,23,61,61,A for the commitmentxD,68.0,1.3,2.5,3.0,en,A for the commitmentxD,a for the commitmentxd
18,25,66,66,"Coxs Bazar
TB",68.0,1.3,2.5,3.0,en,"Coxs Bazar
TB","coxs bazar
tb"
19,26,67,67,rtherewasanattemt,68.0,1.3,2.5,3.0,en,rtherewasanattemt,rtherewasanattemt
20,27,68,68,Apparently 7 years jail time is not enough for slaughtering a cowYou have to kill him for proper justiceCow1Humanity0,68.0,1.3,2.5,3.0,en,Apparently 7 years jail time is not enough for slaughtering a cowYou have to kill him for proper justiceCow1Humanity0,apparently 7 years jail time is not enough for slaughtering a cowyou have to kill him for proper justicecow1humanity0
21,28,69,69,"Battle Royal on Black ops coz why not
fortniteandmoney",68.0,1.3,2.5,3.0,en,"Battle Royal on Black ops coz why not
fortniteandmoney","battle royal on black ops coz why not
fortniteandmoney"
22,30,71,71,Insert Ryand Renolds but why gif here,68.0,1.3,2.5,3.0,en,Insert Ryand Renolds but why gif here,insert ryand renolds but why gif here
23,32,75,75,The only thing worse than thanoss massacre was finding those friends that says spolier lagbe spoiler,68.0,1.3,2.5,3.0,en,The only thing worse than thanoss massacre was finding those friends that says spolier lagbe spoiler,the only thing worse than thanoss massacre was finding those friends that says spolier lagbe spoiler
24,33,76,76,coughsinnovation coughs,68.0,1.3,2.5,3.0,en,coughsinnovation coughs,coughsinnovation coughs
25,34,79,79,The hype for infinity war ruined my hype for infinity war,68.0,1.3,2.5,3.0,en,The hype for infinity war ruined my hype for infinity war,the hype for infinity war ruined my hype for infinity war
26,37,85,85,"The grass was greener 
The light was brighter 
With friends surrounded 
The nights of wonder",68.0,1.3,2.5,3.0,en,"The grass was greener 
The light was brighter 
With friends surrounded 
The nights of wonder","the grass was greener 
the light was brighter 
with friends surrounded 
the nights of wonder"
27,38,86,86,Way to a new beginning for our family,68.0,1.3,2.5,3.0,en,Way to a new beginning for our family,way to a new beginning for our family
28,39,87,87,"come online
see loathsome post about Bangladesh and politics

leave",68.0,1.3,2.5,3.0,en,"come online
see loathsome post about Bangladesh and politics

leave","come online
see loathsome post about bangladesh and politics

leave"
29,40,89,89,"Gazipur e boshe asi 2hr rastar pashe moylar storageBatashe sugndhoBosonto asche mone hosse😊😊😊😊
blessed Deshprem",68.0,1.3,2.5,3.0,en,"Gazipur e boshe asi 2hr rastar pashe moylar storageBatashe sugndhoBosonto asche mone hosse😊😊😊😊
blessed Deshprem","gazipur e boshe asi 2hr rastar pashe moylar storagebatashe sugndhobosonto asche mone hosse😊😊😊😊
blessed deshprem"
